Hotel_name,name,rating,review
Hotel Mercure Jakarta Gatot Subroto,Andrew Ng,5.0,I was greeted by Mira at the Flora restaurant who worked here. She speaks fluent English and was very helpful in finding me a seat near to the entrance of the restaurant to make sure that I can still see my personal belongings while I get the food. Half way through my lunch she also asked me on the food quality and if there’s anything else I need. A great asset to the Company as she is very friendly with high quality of customer service and care.
Hotel Mercure Jakarta Gatot Subroto,Flora Barus,5.0,"Great location. Clean, comfortable, and spacious room. But my room has no wardrobe. Good city view. Delicious and various foods. Near public transportation. The best thing is they don't use water bottles. Instead they provide a water jar in the room and a water dispenser near the lift."
Hotel Mercure Jakarta Gatot Subroto,Sinta Kartika,5.0,"Nice hotel and comfy room with a great view. the breakfast has many variants of asian and indonesian food. the servive are execellent, specialy ms. Mira. thank you"
Hotel Mercure Jakarta Gatot Subroto,Kosario Mohammad Kautsar,5.0,"Keep up the good work! A bit concerns in breakfast this morning, you should come after 7am to let them set the breakfast completely. Thanks to Ms Nabila!
The room is spacious, good high rise semi indoor pools, cool wind exposed! The meals is so delicious in-room or even at the restaurant.
We got a bit problem, Mr Adi and Ms Sandra handled it very good directly.

Rooms: Room is spacious, non carpet floor is great, tidy, well cleanup by Mr Nashshar. Good service!

Walkability: Very close to public transport, instead of city taxi.

Food & drinks: I took breakfast at 5th floor around 7am, the taste of meals was great even though menu is limited! the next day I came around 9am and the set better and quicker service and clean up.

Noteworthy details: We got problem while order room service, it around 1 hour for complete the order"
Hotel Mercure Jakarta Gatot Subroto,Sally S,4.0,"Overall it was a very good stay.  Nice hotel in a great location and good value.
A couple of issues with
- check-in (no offer to take a deposit to charge to room, no upgrade for Gold status or welcome note/ gift in room),
- no Accor plus discount for alcohol, breakfast buffet was underwhelming
- wine excluded for Gold members free drinks
- pool area very crowded on a Sunday
- limited understanding of English by staff
- no desk in room for working
- error with Accor Plus nights and status points credited
- the music from the neighbourhood at 4am woke me up every night.

Rooms: Lovely room but I would have liked an upgrade with Accor Plus Gold status"
Hotel Mercure Jakarta Gatot Subroto,Mayette Quicho,4.0,"The hotel was the perfect location for our needs. Services were stellar, staff always very helpful.
Our room was spacious and comfortable and clean.
Breakfast at the restaurant was ample mainly Indonesian dishes.  Although because we stayed for a week, somehow it gets tiring having the same thing everyday. Maybe you can add more cuisines like Intercontinental.
We tried the Spa at the 17th Floor and booked for a couple’s massage. It was relaxing and just what we needed. Therapist Liya and Iin were very charming and competent at what they do.
Overall, experience was satisfactory and have met our expectations."
Hotel Mercure Jakarta Gatot Subroto,Dylan,5.0,"Great hotel, room is very spacious and clean, staff is super friendly and helpful. On each floor there is a water dispenser, the hotel does a great job by not using “single use plastic”.
Finally a hotel in Indonesia who gets it and is starting to make a difference !
Highly recommend this hotel."
Hotel Mercure Jakarta Gatot Subroto,Fanny Elias See,5.0,"Randomly booked a room for my short 2d1n getaway in Jakarta and i was pleasantly surprised at how new, clean and comfortable this place is. The front desk staff Salma was kind enough to extend late checkout for me as my flight was in the evening and although we came too early to checkin, she gave us drinks voucher so we could chill and wait at the in-house restaurant/cafe.

The room is spacious and very clean. The view from the room is spectacular, you can even enjoy the view of Jakarta from your bathroom while showering. The complimentary drinks in the minibar were also a nice touch. Overall a very good stay here!"
Hotel Mercure Jakarta Gatot Subroto,Henri Sihombing,5.0,"I had a very pleasant stay in Mercure Hotel Gatsu. Best room view, great facility, and many variety off breakfast menu. The Front Office staff was really helpful. The location of the hotel is great. Regards."
Hotel Mercure Jakarta Gatot Subroto,Rudy Setiawan,4.0,"The stay was good, as always good bed and pillow :) managed to sleep full 8-hours.
Apparently got a different layout for my room where the shower and the toilet bowl is in the same area (space). The toilet bowl got wet all the time after shower :D Other than all good! Wifi was awesome too! Good job!

I was not satisfied with the check-out process, did a deposit for my room but unable to process the refund for some reasons (never happened before). So I was asked to wait 14-days for the process to be completed and no void receipt was given at all."
Hotel Mercure Jakarta Gatot Subroto,Hendra Firmansyah,5.0,Having a great experience during stay here. The hotel has a great location. The room are convy and the staff also helpfull. Breaskfast taste good. Ms Mira give all excellent service. Thank you
Hotel Mercure Jakarta Gatot Subroto,Triany Ani,5.0,"This will be one of my beautiful memories thooo. I really appreciate how the team and the management of this hotel work. The services were very good, I enjoyed my time there. It's very well organized, clean,  they have variety of breakfast that we can enjoy and that was really tasty. I'm so grateful to be there, I wish I could come back soon.  Thanks to Ilham as a house keeper, you did a very good job"
Hotel Mercure Jakarta Gatot Subroto,Hari Yanto,5.0,All service is OK. Breakfast also has many variance of indonesian food. Ms mira are helpfull during breakfast. Thank you
Hotel Mercure Jakarta Gatot Subroto,Kinanti Anindita,1.0,"The service from the front office was very bad; I had to wait a long time, but there were no officers who were noticed until we called one of them to help us. I couldn't check in because I didn't bring the physical voucher. I showed them the confirmation letter & softcopy of the voucher, but the officer rejected both documents. Come on… I just hope that there is at least a win-win solution from the hotel, but they didn’t offer any solution. Will definitely not come back.  "
Hotel Mercure Jakarta Gatot Subroto,Ken Sofira,5.0,"Lovely hotel, nice and comfy room, great view, in city center. Breakfast are complete. All the staff in front office and flora restaurant are friendly, -and attentive, especially Ms Nabila. She’s professional and sincere servicing all of us. Keek up the good work

Rooms: Great view, warm, and comfy"
Hotel Mercure Jakarta Gatot Subroto,Nadine Deskananda,5.0,Drinking coffe at their cafe named “Wayang Cafe” The place is super comfy and the food and coffees taste great! The waitress are super friendly! Love spending time here. Special shout-out to Dessy! All smiles and Super friendly!❤️
Hotel Mercure Jakarta Gatot Subroto,Julius Kotir,5.0,"Breakfast excellent in terms of quality and quantity. The best I have ever had.

Thanks Nabila for the service and professional interaction.

Rooms: Room is very big and clean."
Hotel Mercure Jakarta Gatot Subroto,Indriana Rara Subadra,5.0,"White rock terrace is a good cafe with a good ambience, a good staffs as well. Thank you for the service mba Mira, mas arya, rizki & manda."
Hotel Mercure Jakarta Gatot Subroto,wiwin anggraini,5.0,"Is a good hotel to begin with, food and service was perfect. Mira one of the hotel staff was great staff very friendly and smiling. The only thing that could be improve to this hotel is the Internet, there is a time that Internet are not stable so is hard for us as a work traveler to rely on. Over all highly recommended to stay at Mercure Jakarta Hotel. :)

Food & drinks: The food is perfect I love mercure food."
Hotel Mercure Jakarta Gatot Subroto,Paolo Biondo,5.0,Nice location and great ambience! Grateful for the impeccable cleanliness of my room throughout my stay. A huge shoutout to Ahmad for his exceptional dedication to keeping everything spotless.
Sutasoma Hotel,Shaina Gandanegara,5.0,"I had a delightful stay at Sutasoma Hotel. The place is exceptionally beautiful, and the staff members were incredibly accommodating. While the hotel might not be as expansive as it appears from the front, it still provided an enjoyable experience. The spacious beds and perfectly sized rooms made for a comfortable and cozy stay. I would definitely recommend it!

One added perk was the hotel's proximity to numerous Korean cuisine options, making dining choices both convenient and enjoyable during my stay.

Nearby activities: One added perk was the hotel's proximity to numerous Korean cuisine options, making dining choices both convenient and enjoyable during my stay."
Sutasoma Hotel,Savitri Indraswari,5.0,"Stayed 2 night here and had a wonderful experience. Great hotel, great staffs and great breakfast !
Would recommend this hotel to anyone who need to stay in the south. Would definitely come back next time :)"
Sutasoma Hotel,Ida Bagus Soma Antara,5.0,"Staffs were hospitable, room and all facilities are great, breakfast were so tasty and has a lot of choices. Totally recommended."
Sutasoma Hotel,Feli Manda,5.0,"With magnificent and luxurious buildings like European buildings, it gives the impression of an expensive hotel, but this hotel is still affordable. Suitable for staycation and holidays with loved ones. The strategic location is easy to reach, the swimming pool is spacious and clean. Clean and luxury rooms make it comfortable to spend the night. This hotel is very recommended!!!"
Sutasoma Hotel,Renz Calub,5.0,Sutasoma Hotel has been our first home when we made our big move to Jakarta from the Philippines. We enjoyed our stay. The rooms are nice and spacious. The breakfast buffet is good and unforgettable because of the Indomie station! We hope to return to Sutasoma for a staycation or brunch soon!
Sutasoma Hotel,Mile R,3.0,"The hotel is conveniently located to the mall where restaurants, super market and drug store are there.
It’s a pity because……..:
The bathroom lacks Towel Rack, Hooks, Drawers.
When we entered, toilet seat was dirty, the washbasin water didn’t run smoothly.
Towels were greyish looking.
There was cockroache in the bathroom.
At the coffee shop, the rice was hard, it looked like the cheff was using old rice to make fright rice.
Room temperature was freezing, we couldn’t adjust it to lower."
Sutasoma Hotel,Trip.com Member,,I just live the environment at the hotel. Smell good! Breakfast also awesome. Very clean comfy and smell good in the room. Do maintain this environment for future! ❤️❤️
Sutasoma Hotel,Milah melati,5.0,"I love this hotel    Nice accommodation, nice service also the staff is so nice with us. Plus you can get great insta-picture with the surrounding of the hotel . It is actually the plus point     

Walkability: It is very near to the MRT"
Sutasoma Hotel,Kk Dede,5.0,"Amazing servicee! We had breakfast on our weekday, and greets by Mba Linda, and Mas Bisri, they offered us an omelette and a cup of coffee/tea, and they are very kindfull of act of service. Thank you so much"
Sutasoma Hotel,Trip.com Member,,"Nice design and basic room. Nothing much around the vicinity of the hotel even though it is in Dharmawangsa . . unfortunately the wrong side!So if you are looking for cafes, bars, eateries around the hotel better not stay here. This hotel is attached to a convention hall which I believe is popular for weddings. So could be crowded and noisy if there is a wedding or event going on. Breakfast was pretty good and affordable. Service overall is very good . . all the staff try to make the guests happy.The cafe food is ok if you stick to the standard Indonesian cuisine. We tried the Tom Yam Goong Soup and it was totally not right! But in all fairness the F&B manager did not charge us for it after we gave him the feedback.Will probably stay again if we have meetings that way."
Sutasoma Hotel,Zoe Lee,4.0,Overall was great and we enjoyed our stay here! The gym was limited and humid even with the AC turned on. We like the ambience of the room
Sutasoma Hotel,Lee Vai,5.0,"Dear Sutasoma Hotel,

Im am so grateful with this overwhelming welcome gift when im check in back to the hotel. Hotel was good,friendly staff and breakfast is awesome with few coffee beverages included. Would like to come back if visit jakarta again❤️.  Specially thank to Mr Riko from the front office manager for the excellent service.  - Crystal -"
Sutasoma Hotel,Jarupath Jitdoungprem (LordGift),5.0,"Very nice place and good service.

Breakfast lounge has many foods for foreigner. They can try Indonesian food or choose  their familiar.

Central heating may have some problem because it too slow to warm water.

The wall may be too thin because I can hear voices from  another room.

Rooms: Central heating may have some problem because it too slow to warm water.

The wall may be too thin because I can hear voices from  another room.

Safety: The elevator can go to the lobby and your room's floor. You can't press other floor button.

Food & drinks: Breakfast lounge has many foods for foreigner. They can try Indonesian food or choose  their familiar."
Sutasoma Hotel,renzy richie,5.0,"I've been 3 times stayed at Sutasoma Hotel and really enjoyed with the great hospitality from the staffs (especially Mba Nadia), prime location, super clean and ultra tidy rooms. I could say this is one of the hidden gems hotel at South Jakarta. Definitely will return to Sutasoma Hotel. Keep up the great work for Sutasoma Team!       "
Sutasoma Hotel,andar irwansyah,5.0,Really enjoyed my stay there.. I was in business trip & had a 2 days meeting next to the hotel.. the service was overall good & the rooftop dinner was fantastic
Sutasoma Hotel,Vidi,5.0,"Amazing stay, very unexpected! Every decoration and details (like the air freshener) was so pretty and traditionally elegant. Everything that's metal are gold-colored, adding to the elegant ambience. Great AC, in-room dining and room layout. Exceptional receptionists who keep on helping me for stuffs like printing my boarding pass and other small errands. The only minus were the shower that sounds a lot sometimes when it's not being used, and the other guests. Was unfortunate enough to be in the same floor as so many kids and family traveler who were very loud, ringing the doorbell a lot of time, and running around the corridor the whole time. Even ringing on my doorbell once as a mistake. But otherwise a great hotel!"
Sutasoma Hotel,JACQUELINE NATHALIA,5.0,"having two night stays and spending my beloved one birthday in sutasoma hotel was my best decission! their service are best! great companion, good food, nice ambience which made us feels like staying somewhere around greek and italia hehe for me, sutasoma are one of the best 4++ star hotel in town! i'd love to go back ;)"
Sutasoma Hotel,Fauziah Nurmiyati,5.0,Good location in South Jakarta. elegant lobby and comfy room. Big and comfortable bed. A lot of variation and delicious food during breakfast. The staff are also friendly and helpful.
Sutasoma Hotel,Mei Mei,4.0,"Nice hotel, smells really good. Room is clean and neat. Located in quiet street, very close to 2 korean supermarkets.

The room is not big but comfortable enough, with long seat by the window."
Sutasoma Hotel,Charmaine Yong,4.0,"Convenient location with cafes and restaurants nearby (skewed towards Korean and Japanese restaurants). Bed is very comfy and the room is very clean, the only issue was waiting for the iron and ironing board that took an hour to be sent to my room.  Had to call the reception 3 times but other than that, a very pleasant stay."
Sutasoma Hotel,Dania Sitadewi,5.0,There's a roach but we got free breakfast as sorry. So very good
Sutasoma Hotel,GD,5.0,"I was coming for having breakfast at Atman Lounge, and surprisingly they could accept outsider guest to enjoy the breakfast as well. A very warm welcome from the front desk Mas Adi, and he escorted me to restaurant and showing the room. During breakfast i was assisted by Mas Bisri and he was very kind and helpful.
At the moment Mas Adi came to my table and ask for further assistance, then i asked for room showing if possible and he assist me accordingly with informative detail explained.
I was thrilled by his exceptional hospitality. Thank you!"
Sutasoma Hotel,gabriella glady,5.0,"I had a great time stay at sutasoma hotel. Literally, If you are looking for an aesthetic hotel with an affordable price around South Jakarta recommended to stay here. Lokasinya persis di belakang tribrata.

Hotel 4 star ini memiliki Swimming Pool, Gym, dan juga rooftop nya with an amazing skyscraper view. Untuk room nya itu menurut aku luas dan nyaman. Aku stay di Kakawin Suite, dimana interior nya itu lebih elegant dan juga ada sentuhan indonesia nya. Room nya itu with a king size bed, marble bathroom, waterfall shower, and window seat.

its such a great place to stay if you wanna do staycation to escape from the hustle and bustle traffic of Jakarta.

Rooms: Its cozy and comfy

Nearby activities: Near malls, public transport, a lot of good restaurants around

Food & drinks: The food is delicious. I stay for 2 nights and the breakfast menu always change."
Sutasoma Hotel,Ria Alamin,5.0,"Been here twice. The check-in / check-out process was very fast,    for this! (I don't know the FO name but I recognize the necklace she wore).

The room is quite big and the AC is cold which I like it.
Please add face tissue on the table to make it completely perfect as tissue only available in the toilet.

The breakfast - many choices even they serve gula kapas for kids (need to stock it as many kids waiting for the staff to make it). Also thanks to pak Willy, his service is excellent. He serve the coffee to our table even he helped to clear the table.

After all I like the ambience, cleanliness and the service. Thank you."
Sutasoma Hotel,Maria Elsa,5.0,"I got the opportunity to stay at the Sutasoma Hotel on my vacation this year. The location is very strategic in South Jakarta. Breakfast was amazing with a variety of foods. The hotel is very comfortable and feels like home. The room is also clean and neat. Thanks to Amanda, who brought this memorable experience to me."
Sutasoma Hotel,Adri Dwitomo,4.0,"Stayed there with my eofe and 3months old. I can say that the stay was pretty enjoyable, the staff was helpful. There was an incident that happened when there was an event going on at the place. Cars piled up infront of the hotel lobby door and made other cars, my borthers couldn't move in the entrancenway because it was blocked. Nicked the cars bumper and yeah that was the only thing that made this review a 4 instead of a 5 star. There should be guards on duty 24/7 infront of the hotel entrance to make sure nothing like this happend. The staff apologized and habe us free breakfast along with a fruit platter. Aside from the the hotel itself is pretty quaint. It's a shame the walls are pretty thin, i could hear the other room laughing away at night. But hey they get to hear my baby cry too so..all in all would stay again as the location of the hotel is very strategic if your activities are around the south area of Jakarta. It's also very easy to go to center of Jakarta from the hotel being it positions itself at the center of the suburbs and the city.."
Sutasoma Hotel,Eva Kosasih,5.0,"Thank you for the hospitality, Sutasoma Hotel. And thanks for the anniversary decor and cake which exceed my expectations!

This hotel is so peaceful & quiet, perfect for staycation. It is located close to MRT Station which makes it more handy to move around in Jakarta :)

Food & drinks: They offer lots of option for breakfast. The food taste so delicious! I wish I have a bigger tummy! ^^"
Sutasoma Hotel,catur nila wardani,5.0,I love the ambiance. The staff is very helpful. Signals of mobile cellular is very bad in the room. But you can get wifi and its helpful. Breakfast menu is quite lot but the time of serving little bit slow.
Sutasoma Hotel,Martiana Sipahutar,5.0,"The hotel is located near Grand Wijaya Square, so there are plenty of restaurants around which I found as a plus point. The check in and check out services are efficient. The room is nice, clean, and comfortable, the only defficiencies are:
(1) that the sound travels from neighbouring rooms as well us upper rooms. I have to check and recheck the bathroom to ensure no leakage as the sound comes so loudly which apparently originates from the next bathroom; and
(2) that the hotel provides a water jug but no water dispenser to be seen at the alley. I don't know why. Tea is sariwangi, could be better.

The gym is small but convenient with the view to the pool, I enjoy it very much. Breakfast is good, especially the omelet, and service is excellent. Thanks Sutasoma, will return again when the renovation at level 8 is done."
Sutasoma Hotel,Aprila Annasi Casia,5.0,"The room is super cozy and clean. The stay is dedinitely worth the money. The staff are friendly. The front office team lead by windi made a memorable welcome on my arrival and they were always nice and friendly assisting me with my needs during the stay
Slightly improvement needed for the maintenance of gym equipment, and also the variety of breakfast could be added to have a better dining experience. The cappucino was awesome!"
Kemang Icon Jakarta,Astrid Augustrita,5.0,"I cannot rate the room as I did not stay in the hotel. This is my second time visiting the restaurant. We had a dinner event last night at the function room, and it was splendid!.
The buffet were tasty. I love the black pepper beef as well as the mushroom cream soup. Not to forget the fried banana and fried cassava for the snacks. The function room fit well for us around 30 pax. The long table set nicely with Christmas decoration. Thank you to Bapak Miftah and his team who served us with kindness and professionality. Location is also a plus point, just by the corner of the Kemang area which very easy to access and locate. Last but not least, this place has a very nice view from its rooftop. Visiting during sunset is recommended! Beautiful scenery. I am certain will revisit this place again."
Kemang Icon Jakarta,Gio Aguste,5.0,"I had a wonderful stay at Kemang Icon Jakarta. The suite I stayed in called Ionic suite, it was not only spacious but also uniquely decorated with a classic touch, giving it a charming ambiance.

The staff, while not numerous, were incredibly friendly and attentive. They made sure I had a comfortable and enjoyable experience throughout my stay.

While the breakfast was served à la carte rather than buffet-style, the food was absolutely delicious and satisfying.

Overall, Kemang Icon Jakarta impressed me with its spacious and charming suite, attentive staff, and delectable breakfast. It's definitely a hotel that maintains a high level of performance. Please keep the performance."
Kemang Icon Jakarta,Firza Destrian,5.0,"What a lovely boutique hotel in Kemang area.
Nice aesthetically decorated building with artistic touch of each suites.
Fabulous service particularly Mas Erick. Will come back soon"
Kemang Icon Jakarta,Agus Suci Wulandari,5.0,"Love this Hotel, located in a very strategic un Kemang, you can find a lot of places for eat, leisure, and coffee (of course!)
The room is spacious enough, elegant interior,  instagramable roof top, staff are friendly. Rate of this hotel is affordable for a 4 star hotel, overall a nice experience when staying in this hotel.

Rooms: Spacious and elegant interior

Nearby activities: There are many cafes and restaurants around which are places to hang out"
Kemang Icon Jakarta,Ajeng Suhardiman,5.0,"Splendid location, always loved the unique rooms as Ive stayed here frequently at least one trip a year just to experience all the rooms and always looking forward for my next stay with their warm hospitality especially from Ms. Febee."
Kemang Icon Jakarta,arinjeruk,5.0,"hotelnya bagus, the aglio olio was super endulita barbanero, and the staffs are super kind, will definitely stay here often :P"
Kemang Icon Jakarta,Nathania Lubis,5.0,"The rooms are unique and comfortable. Enjoyable and satisfying stay here. Highly recommended hotel in Jakarta

Food & drinks: The food is delicious, especially the view of the Jakarta skyline"
Kemang Icon Jakarta,Abah Ibik,5.0,"Best Roof top Restaurant.and..Very aesthetic Small hotel...
"" BURGER bluee Cheese nya LEZAT!      , Extra Mile Service      "
Kemang Icon Jakarta,Mohd Nafzahizam Mohd Adnan,5.0,My 2nd time here. Love the room and the services. All staffs were really helpful. Great location as well!
Kemang Icon Jakarta,Louis Rivaldy,5.0,"Good food, fabulous place for hang out at the roof, comfy room. Can not explain by words you have to try yourself.

Food & drinks: The ambiance at the roof was fantastic, with the good food i had."
Kemang Icon Jakarta,Lestari Astriani,5.0,"Unique place, nice room ambience, good food, very recomended"
Kemang Icon Jakarta,Bishop Force,5.0,Nice an cozy place to stay...tranquil and love the ambience...
Kemang Icon Jakarta,Hendy Hendrawan M,5.0,"Nice, unique place... Perfect for family staycation."
Kemang Icon Jakarta,Saiful Bakri,5.0,"Hotel is a bit run down. Still quite charming. Location is decent.

Nearby activities: Bustling with entertainment and nice to see locals around."
Kemang Icon Jakarta,efrikson nadeak,5.0,"Always Best experience To visit this hotel and  Restaurant,  I always  Happy, comfort And enjoy In here, recommended To try this hotep and restaurant"
Kemang Icon Jakarta,Kris Trimoeljo,3.0,"I booked this hotel tempted by the photos, room size and price.
While the room is big , I think the maintenance has not been paid good attention. You can take a look at the pictures.
With abundance of choice at around similar price level, I may not return back here"
Kemang Icon Jakarta,Angga Setiawan,5.0,"Kamar nya super extraordinary, clean and Internet nya is very hight speed and stabil..."
Kemang Icon Jakarta,Nathania Nathania,5.0,"Good location, good service, nice room"
Kemang Icon Jakarta,Remko Simons,4.0,"Small hotel (only 12 rooms), large hotel rooms, a little bit old but still have nice design. Bathroom open space without door"
Kemang Icon Jakarta,Abbott Hsu,5.0,"A very well organized and delicate hotel in Kemang area. You can feel how the owner wants to create the modern and traditional atmosphere by having mixed decoration inside.
The staff are really friendly to serve you no matter in room service or at it's bistro. Though there are 12 rooms here, the overall maintenance and service are super good. A good place to stay on weekends or holidays at Kemang. Enjoy it."
Kemang Icon Jakarta,Josh Patil,1.0,"The worst hotel I’ve ever been too. Staff don’t care at all to help. Empty promises. Woke up to my room completely flooded in water the first morning. WiFi hasn’t worked for 2 days. Construction FROM the hotel starts at 7am and drills into the rooms from outside.

They have ZERO thought of customer service. A 1 star hotel under the disguise of a 4.

What a rip off."
Kemang Icon Jakarta,SelweN,5.0,"Very nice experience to me n my family stay at Kemang Icon

Rooms: Comfortable

Safety: Very safe

Food & drinks: Very good"
Kemang Icon Jakarta,Santino Pasini,1.0,"Kemang Icon by Alila was one of our favourite hotels and I have stayed here many times years ago. Today is my first visit here again after maybe 4 or 5 years. I was very excited for the great experience again. Then, we are shocked to see what we see today.

First of all, the furniture and the fixtures inside the room are not in good condition anymore. We can understand that for a hotel that is more than 10 years old. But what really upsets us is the broken elevator on our second day which has forced us to walk up the stairs to our room on the 3rd floor. I can handle this ‘exercise’ but we have our 75 years old mother with us and it is very hard for her to do that. What frustrating is the problem cannot be fixed promptly by the hotel. And there is no duty manager available on the premises!

Unfortunately the bad experience does not stop there. When we had our dinner at the edge restaurant, our tenderloin steak and rib eye steak were very dry and hard. It was far from juicy and soft meat that I remember when I ate here years ago. This time it really taste like a frozen meat that has been kept for days and not cooked properly at all.

I am very disappointed because I really liked this hotel before. Apparently, the hotel is not part of Alila anymore. Is this the reason of such a downgrade in quality? Current management of the hotel MUST do things right urgently if they still want to exist"
Kemang Icon Jakarta,Omri Ben-Canaan,5.0,"Kemang Icon is by far one of the best hotels I have stayed in in Jakarta.
Rooms are huge: 85sqm - Staff is super friendly and helpful and location is ideal, very central.
Restaurant is delicious with a lot of different cuisines so no need to venture outside or gojek anything.
There is a beautiful pool on the rooftop too.
Will definitely come back.
5 stars hands down."
Kemang Icon Jakarta,Berliano rex,5.0,Good room good ambience good food and beverage
Kemang Icon Jakarta,Dewi Wulandari,5.0,"I always have a special room in my heart for small hotels like this one. It only has 12 rooms BUT each room was uniquely designed, so each one is different. I stayed at illusion room, which was very spacious. It needs a bit of TLC on the interior but I heard it is scheduled for renovation. Mas Ilham the manager was very helpfull. Breakfast, wasn't buffet but you get to order from a list  that is all looked very delicious. I stayed here alone to get some me time and it's worth every dime. I got the sense of space and quietness that I dearly needed. And I already scheduled to come again on new year with my family. Conclusion? You should definitely put this hotel in your list"
Kemang Icon Jakarta,Erika HDRF,5.0,The vibe and the view was just perfect. We caught the sun as it was setting and the night lights were stunning. We got the advantage of using the upper room and the decor was wow. Great spots for a photo shoot. Oh and i suggest this place for private parties. Great place
Kemang Icon Jakarta,christiaan tumbelaka,2.0,"The place is nice and clean the staff is nice helpfull and polite
The Ceasars salat was bad no fress salat only 2 cherry tomato cut in half no black olive the chicken brest was dry and old.
And the Bufalo chickenwings was just reheaten frozen out of a pakage and dry too"
Kemang Icon Jakarta,Anita Maerani,5.0,"i love the unique design each room,giving the best ""me time"" experience. Also the pool area is my favorite spot to enjoy the sunset in the middle of crowded traffic. i pay what i deserve,very good job!"
Kemang Icon Jakarta,Jason Chan,4.0,Room is spacious. Unique design. Air con is very cold. I can't seem to able to find the remote. The hotel is very helpful. They prepare breakfast for early check out. Thumbs up
Hotel GranDhika Iskandarsyah,Arief,4.0,"This hotel was very jive actually. The service is good but they need to maintain their room better. Our room was with bathroom scale and the sink got clogged.

And this hotel is mainly for business trip and event. The view is nice, it was the flyover so its new for us.

Overall i would say its 4 out of 5"
Hotel GranDhika Iskandarsyah,Spanolier,2.0,"Decided to have family weekend getaway last month at this hotel after reading good reviews. Check-in was smooth & staff were friendly. We didn't check condition of our room and just left belongings in the room before going out for lunch. When we're back, my son went to the bathroom and fount out the tiles under the shower were dirty and there were hairs on them. Hotel staff asked permission to clean the bathroom (while we're in the room) but I requested to change room instead. It took more less 30mins from reporting time up to changing the room. Beside the small lamp next to the bed hanged unsymmetrically due to loose screw & we found not-too-big brown-stain on the sheet, the new room was clean"
Hotel GranDhika Iskandarsyah,Patria Nurhari,4.0,"We chose this accommodation for its strategic location for our purposes. The room and foods were okay. However, there’s issue with their service that need to be improved. It’s hospitality business after all."
