Mall_name,name,rating,review
Pacific Place Mall,Clarissa Iero (Claire),5.0,A nice clean exclusive shopping mall. You can find pretty much anything fancy here. Lovely.
Pacific Place Mall,Jeremy Mseitif,5.0,Very high class mall and very clean and chick
Pacific Place Mall,R F,5.0,"It was my 1st time invited by my bos to a mall as good as this.
It has beautiful views and designs with miniatur of ship inside.
There's so many education games at kidzania and foods options at restaurants."
Pacific Place Mall,Sky Stalker,5.0,I went with my friend's. Mall is full packed with luxury international brands and all you need is deep pocket. Definitely this is not a perfect for hangout. Yes you can carry your beloveds to impress them by buying luxury brands.
Pacific Place Mall,Chef Vindex Tengker,5.0,"Really a 5 star experience. Room is large, clean and comfortable bed, great amenity, Has a good quality and variation for Food and Beverage. Also located in Mall Pacific place, so good for shopping and dining too perfect prime location as it is in a central district of Jakarta    "
Pacific Place Mall,Emile Ruig,5.0,Very nice and clean mall. It is really huge actually! I never knew its this big inside. There are many nice food places and a good variety of shops. It is also easy to reach and there are many taxis available for when you leave. You can easily spend hours at this mall. It is also child friendly (top floors especially).
Pacific Place Mall,Pramuaji Pramono,4.0,"One of several ""High Class"" Malls of Jakarta. Neatly located at the heart of Semanggi Central Business District. Reachable by public transportations: Istora Mandiri MRT Station and Polda Metro Jaya Transjakarta shelter.

No in-building parking for motorcycles. No local bookstore (there's only a Books & Beyond), and no ""people's junk food"" joint (Wendy's is the closest one).

The musholla is clean and comfortable. Just not that big of a space to fit many people."
Pacific Place Mall,Jeanny Wati,5.0,"One of the most prestigious mall in  Jakarta. So many branded tenants. Lamborghini, LV, PRADA, Miu Miu, ROLEX, and many more. Very high class. The place is big and clean. Parking lots very spacious. Near to hard rock cafe and The Ritz Carlton. Crowded on the weekend."
Pacific Place Mall,ENDAH,5.0,First time go to this mall for refreshing with my bestie. We are to be Metropolitan People on one day. This mall is different from another mall. Many objects that can to be spot photos and so luxurious.
Pacific Place Mall,Paul Renon,1.0,Probably the worse parking space. Closing the lower space without any clear reason and you just go around and around looking for a spot which is less wide than the car… mind blowing when you’re actually paying for the space and this is a premium mall… guess you have to spend more per hour for a self parking valet spot
Pacific Place Mall,Erniyati Fun,5.0,"This is very nice upscale mall. You can find most of the high end brands you love here. To me, this is my perfect shopping paradise in Jakarta. Typically not busy during week days, but also not too crowded during weekend and public holidays too. I did a small social experiment here. When I came all dress up with nice shoes and designer bags, all the sales persons are so friendly and approaching to offer their product, but when I came with short & sneakers, no one even notice me. So the next time you visit this mall, please expect that people do look at you from the way you look, and for sure, little did they judge how much money you have, simply from your appearance. This sounds mean but this is business. Because in fact, you don't find anything cheap here. Even the simple cosmetic stand there, can costs around IDR 2million for 1 small cup of face lotion.  But the foods and restaurants here, they have average price like many other mall in Jakarta."
Pacific Place Mall,Teguh haryanto,5.0,"Mall nya oke juga barang barang nya branded dan highend, toilet baik sekali parkiran luas di basement.

(Translated by Google)
Very good mall, the goods are branded and high end, the facilities function well, enter this mall by security check, the lighting is very good and clean, the toilets are very good, there is a large parking area in the basement."
Pacific Place Mall,Gaius Leong,4.0,"Decent mall with multiple entrances, so it gets a little confusing. Shops open only around 10am in general, so don't come here too early. Even cafes, despite opening at 10am, are still very much mentally asleep. Prices here are not cheaper than in Singapore."
Pacific Place Mall,Ezra Natalyn,4.0,Quiet good place. Providing high brands inside and many restaurants too.
Pacific Place Mall,Abbott Hsu,5.0,"One of luxurious malls in Jakarta. It is hot and crowded in weekdays since people working around SCBD go there for lunch or business purposes. On the contrary, good for people go shopping since it is quiet during weekends.
Kidzana, CGV cinemax are attractive on weekends or holidays. To be honest, the space is really big for you to relax yourselves there.
Fancy foot court here is another landscape inside. Photo shooting here appeals people all the time. Good place to hangout on weekends or holidays. Just come and enjoy yourself here."
Pacific Place Mall,Krisanto Purnawan,5.0,"Prestigious mall in south jakarta. You can find branded stores here and fine dining restaurants and food courts also. Not to mention cinema here.
No parking space for motorcycles, must park a bit far from mall, too bad."
Pacific Place Mall,Sayed Sajjad,5.0,"It's one of the best malls in Jakarta  , you can find many luxurious brands in here , like Louis Vuitton ,Rolex, Lamborghini , Bulgari , TWG , ...
There are 6 floors and 2 floors under ground.

Great place for shopping and having tea or coffee. :)))"
Pacific Place Mall,uzwaa,5.0,"One of A high end shopping mall in jakarta.
Lots of luxury tenant for branded goods.
Great restaurant inside for dine in.
Good ambience for stroll around during weekend."
Pacific Place Mall,Anggi Arnofia,5.0,It's a nice mall! I come here to do the monthly shopping. The place is so clean and smell so good. Love this mall so much
Pacific Place Mall,Saoud Al Shamsi,4.0,"Good shopping mall connected to ritz carlton, good food options, more floor maps, information of shops should be more visible to customers, internet connection was too bad in the mall."
Pacific Place Mall,Te Ir,5.0,"One of the best shopping malz A premium shopping center in the Economic center of SCBD City of Jakarta. Outlets for luxury automotive, fashion and culinary brands that are famous in Indonesia. There is also a children's playground and cinema, a luxurious impression can be seen from the security to enter the mall. The lobby ground is never empty of various events.
Executive mushola located on 2nd floor,blessed."
Pondok Indah Mall 1,Alfie Jay,5.0,"Pondok Indah Mall in Indonesia stands as a distinguished shopping destination, harmonizing upscale retail with a comprehensive selection of everyday commodities. The architectural finesse of the mall accommodates an array of high-end fashion boutiques and diverse dining establishments. The spatial design contributes to a comfortable and refined shopping atmosphere. The mall caters to a broad spectrum of preferences, offering both renowned international brands and indigenous products. Beyond retail, Pondok Indah Mall serves as a social nucleus, fostering a vibrant ambiance enriched by entertainment options and a diverse array of cafes and restaurants. It emerges as a compelling attraction for both locals and visitors seeking a comprehensive and sophisticated shopping experience."
Pondok Indah Mall 1,iman rivanda,5.0,"Big mall with 3 section (PIM 1, 2,3) with a lot of variations of tenants. F&B, Clothings, Shoes, Playground. Favorite in the weekend for family to hang out and watching movies. Recommended mall in South Jakarta"
Pondok Indah Mall 1,Pandapotan Siagian,4.0,"Went here just to play at Playtopia.
It is located near waterpark, south area of PIM 1. The playground is not that big but enough for kids to play around. The ticket during weekend is 150k IDR, with 3 hours playing.
Honestly its a bit “force ticket”, because we can not buy less than 3 hours, and if we played only 1 hour, there is no savings for next time.
But overall it was ok."
Pondok Indah Mall 1,W Shravan,5.0,"Big Spacious Mal with branded shops & Children corner on top most floor. Including 2-3 Sections of Pondok indah 2&3, beautiful,clean and properly maintained"
Pondok Indah Mall 1,Te Ir,5.0,"One of the oldest and legendary shopping malls in South Jakarta. Now it has developed into 3 shopping malls. There is a supermarket on the ground floor, a food court on the 1st floor and bookstore and branded outlets on the 2nd floor. There is a sky bridge on the 1st floor on the south and north sides which is connected to the Transjakarta bus stop."
Pondok Indah Mall 1,"Ramadhan, S.S.",5.0,"Pondok Indah Mall 1 is a shopping paradise! The diverse range of stores, from high-end brands to local boutiques, provides a fantastic shopping experience. I recommend you to go there for shopping if you have a free time."
Pondok Indah Mall 1,I am Q,4.0,"This shopping mall is one of the shopping complex called Pondok Indah Mall. This place is so beautiful that I think it should be on the must see list for tourists coming to Jakarta. It is really big and most of the famous brands can be found here. My very first impression was very positive of all lightning and colorfulness inside the mall. It is modern and the restrooms are really clean.

The only strange thing is that this shopping center charges internet taxis for coming to pick up customers. Even though it doesn’t take more than a few minutes."
Pondok Indah Mall 1,Erma Irawati,5.0,Shopping centre in south Jakarta which is one of the the best meeting point with friends and family as we could do shopping and discover the culinaries
Pondok Indah Mall 1,Bull Dogg,5.0,"Jakarta has several upscale malls and this is one of the top three in terms of scale, premium brands, and location. Although the streets around the mall frequently are congested, the opening hours make the mall nicely accessible if you avoid the rush hours. There is ample self and valet parking.
The mall has three different buildings so it can take a while to find the store you are looking for. Pretty much every premium brand can be found, as well as many small specialty stores that are not part of a chain.
There is a large number of restaurants of various kinds and food types. As Indonesians love fast food the majority of restaurants are of that kind. But there are also a few more upscale restaurants, both Indonesian and other nationalities.
The restrooms, and the mall in general, are very clean, constantly attended to.
There also are several activity areas for children.
This mall is the favorite pastime of many families in Jakarta."
Pondok Indah Mall 1,peru peru,5.0,"Great shopping Center in the city of Jakarta near the Intercontinental hotel. It is interlink with Pondok Indah Mall 2 & 3 and if you love shopping, this is the place with great food outlets. I like the outdoor garden above and it gives such a breathtaking view of the city area."
Pondok Indah Mall 1,B “BM Adventure” M,5.0,Good place to walk around the mall. 2 other malls are connected so if you have lots of time and want to chill at the mall this a good place to explore. Pim 1 is one of the oldest mall. But they have new shops H&M is here.
Pondok Indah Mall 1,Rick Siemmens,5.0,"Located at south of Jakarta, this mall surely give the visitors almost what they need : a nice and huge mall to visit with families and friends. Many activities can be done here with your love ones : eating, drinking, shopping, watching cinemas, children playground, and other services. This mall keep expanding with nice and good decorations. Many nice spots for selfie. Now already open New Pondok Indah Mall 3 to visit and explore. The parking lots are more than adequate for visitors with private vehicles. This mall also can be reach by direct access from Transjakarta bus stop."
Pondok Indah Mall 1,Ratnanngrm,4.0,"In this mall there are many shops and restaurants. There are various local and international brands that can be found here. PIM also has many choices of places to eat, from local food to foreign foods. Good place and comfortable facilities."
Pondok Indah Mall 1,Pramuaji Pramono,5.0,"Back in the day, before PIM 1 had a major renovation, there was a disparity between the 2 malls. PIM 1 was for the ""mid-to-low"" level, and PIM 2 was for the haves of upper-class.

Now, there's no such difference. I even like PIM 1 better! It has my 3 minimum ""requirements"" for a worth-to-visit mall: 1. Budget friendly restaurant (HokBen, Bakmi GM), 2. Bookstores (Gramedia and Periplus), and 3. Movie theatre (XXI).

As the malls (1 to 3 + street gallery) have an outside-the-building motorcycle parking. PIM 1 is the closest building to it. Me, personally, I'd prefer to take the TransJakarta (koridor 8) to get here."
Pondok Indah Mall 1,Lee “Utha” Carbeat,5.0,"Its pim 1. Many tenant around. You'll find variations of outlets. Still a good place to shopping, for food enthusiasts, also for Jay walking..."
Pondok Indah Mall 1,Kirana Mazaya,4.0,"Pondok Indah Mall (PIM 3 malls) is one of the best modern malls having lots of shops for easy shopping.

You can enjoy a lazy  afternoon coffee or tea break with friends or buying essentials at PIM easily.."
Pondok Indah Mall 1,Daniel Judah,5.0,"Very good place to visit.

Lots of good tenants, the place is not very crowded, and there are lots of good foods on the food court. Parking space is very ample, toilets are very clean. Good fashion stuff on the first floor.

The place have good COVID-19 procedures, with temperature checks on the doors and you can also wash your hands there."
Pondok Indah Mall 1,BHUPJIT SINGH SETH,5.0,"It is a nice mall for spending the day because it is a big mall and it got every restaurant, and every store and also I liked it it was the beautiful mall ever and it had so many beautiful places like terrace so pim is the best mall in the whole jakarta indonesia"
Pondok Indah Mall 1,Nadine Driesandia,5.0,"knew pim since my childhood and grew uo with its develpoments! do i need to say anything? this mall is practically my seconde home for it is comfy, familiar, and has various places to visit!"
Pondok Indah Mall 1,Prinantono Kadri,4.0,"Basically PIM 3 is a relatively new open...
So likely a previous PIM 2 this one is good for a not too crowded due to pandemic, many people choose to go to open air places for rest & relax...."
Pondok Indah Mall 1,Apuy,5.0,"Great shopping Center in the city of Jakarta near the Intercontinental hotel. if you love shopping, this is the place with great food outlets. I like the outdoor garden above and it gives such a breathtaking view of the city area"
Pondok Indah Mall 1,Nathanael Shelvin,5.0,"The first part of Pondok Indah Mall. This mall looks old, but old is gold, the tenant is perfectly complete, you can find everything in here in PIM. The thing that need to be improve is motorcycle parking, this mall have no space for motorcycle below 400cc, you have to park outside the mall or somewhere faraway."
Pondok Indah Mall 1,Teguh haryanto,5.0,"Went here just to play at Playtopia.
It is located near waterpark, south area of PIM 1. The playground is not that big but enough for kids to play around. The ticket during weekend is 150k IDR, with 3 hours playing.
Honestly its a bit “force ticket”, because we can not buy less than 3 hours, and if we played only 1 hour, there is no savings for next time.
But overall it was ok."
Pondok Indah Mall 1,dian ratnasari,5.0,"Our go to mall since forever!
You can find everything here and walk from PIM 1 to PIM 2 and then PIM 3.
We can excercise while window shopping!!!!"
Pondok Indah Mall 1,JR Shafira,5.0,"A huge mall that has good place to shopping and eating with family or friends. There are so many food courts, branded fashion store, sports, gaming, and others. One of best department store in Jakarta."
Pondok Indah Mall 1,tiamuah _,5.0,"The new one in town, PIM 3 finally open though the pandemic still exist and affecting the progress of stores completion.
While there are some tenants closed in PIM 1 and PIM 2, the PIM 3 still offer some new tenants.

The new attraction is At Most Fear, the glass floor area in second floor. Visitors can enter the area based on limited group about 20 peoples handled by the security and given about 20 minutes to enjoy and take photos around. The place itself actually not too high but still worrying for some people. Hahaha. I prefer to come there at night since the city light intersection of PIM 1 and PIM 2 look great.
It is free area to visit but there are queue sometimes. No heels or pointed heels allowed to protect the glass floor.

It is good to visit while you were in PIM."
Pondok Indah Mall 1,Aena Pareek,5.0,"Huge upscale mall in this area.. almost all major brands are available here.. toy city and various other toy shops are available here.. open kids playing area are there too..
So many restaurants and cafe's are here
Extremely crowded specially be in evenings
Well maintained
There are skywalks connecting mall 1 to 2 and 3 so it gets easier for people to walk around
You can't see the whole mall in one go.. be prepared to get tired ;-)
Overall good"
Pondok Indah Mall 1,antonia yudhita,5.0,"Great place to hang out with relatives. It has many nursery room so infant can be taken care easily. They have restroom for special needs people. One of the best shopping mall.
Please be aware if you bring kids because they might be lost. Crowded mall during weekend."
Pondok Indah Mall 1,toko firna,5.0,"It doesn't change in its commitment to provide you with excellent service, products and experience.
I am always in awe towards such commitment.
The spirit of giving back ans togetherness.
And it will always have its own market.
Great place to visit, even just for a stroll.
You cab dine, stroll, play, shop, grocery shopping, etc here with comfort ans convenience.
Highly recommended."
Pondok Indah Mall 1,Arsy Phx,5.0,"Pondok Indah Mall 1 offers a diverse and comprehensive shopping experience. The mall houses a wide range of stores, encompassing fashion, electronics, home decor, and more. It caters to various budgets and preferences, making it an inclusive destination for shoppers of all kinds.

One notable aspect of Pondok Indah Mall 1 is its spacious and well-designed layout. The corridors are thoughtfully organized, allowing for easy navigation and unhindered movement. The mall's interior is clean, well-maintained, and aesthetically pleasing, contributing to a pleasant shopping environment."
Senayan City,Samsul Anam,4.0,"Up town mall, many international brands in here. Good for shopping international brand. No (big) discount. There is a children play park at the top floor. Good place to play."
Senayan City,Aris subianto,4.0,An interesting place to visit with family. Many tenants from well-known brands. Foodcourts and various restaurants are also available. The toilets are clean and there are lots of staff ready to help. There were lots of visitors when we visited so it was difficult to find a parking space
Senayan City,Bogto's Fantasy,4.0,"Apart from its fame as one of the luxurious shopping malls in Jakarta, I honestly haven't found anything else to describe this place.

Don't get me wrong, I'm not saying it's a bad place. But the thing is, this mall has been well described by other reviewers. It would be redundant to add the same details.

Okay some brief, f̲o̲r̲ ̲m̲e̲, Senayan City is a cozy place to hang out and spend time with family. Especially for having dinner.
The location is very strategic and easy to reach. As the name implies: ""Senayan""
That's it for now. I may add more details later.
Cheers people   "
Senayan City,B L O G G E R,5.0,"One of the luxury mall in Jakarta, spacious. High ceiling many floors all the luxurious brands also clean nice smell."
Senayan City,W Shravan,5.0,Luxurious Mal with all Popular & high class brands here. Very spacious and clean with proper management and welcoming staff with a very big food court with unique cuisines
Senayan City,Nisa Suciaty,5.0,"I come here quite regularly. Love the food, the atmosphere, the unique art installations with different themes it always offers to the visitor. Five stars!"
Senayan City,Denia Samad,4.0,This one of the most strategic mall in South Jakarta. Uncountable meeting been there due the location is easy for everyone to be there. And even more happening now during this Ramadhan season.
Senayan City,Bray Wok,5.0,Nice n large shopping mal with many good restos n shops ..
Senayan City,Fenny W,5.0,"Pretty place
Good smell and so clean mall
Good stores are inside"
Senayan City,Richard M,5.0,"Amazing mall with lots of food outlets, retail, kids play, etc"
Senayan City,Yasmin R,5.0,Great mall located in strategic area in Jakarta. Access through public transportation can be with MRT senayan
Senayan City,Hasley Mochamad,5.0,"One of my favorite mall in the South Side, good place to spend time with the love ones and never get bored with lots of different food choices. Lots of electronics stores too for entertainment and house needs. Don't forget the cinema with many new movies playing."
Senayan City,Christiandel Rosales,5.0,"This place is nice and not too crowded.  Security guard upon entry with metal detector and X-Ray.

Guards are situated througout the center.

Restaurants in the lower ground floor, high end brands on ground, then alot others the rest of the building."
Senayan City,Ivan Wiryawan,5.0,"This mall in central Jakarta is a one-stop destination for everything, ranging from banks to high-end brands, and yes, it even includes Uniqlo. A word of caution, though: navigating the upper ground parking lot can be quite a challenging experience!"
Senayan City,Bernardine Tan,5.0,One of the upscale mall fulfills all your shopping needs (consists of mid and high end brands). It has various type of restaurants and food court.
Senayan City,Gatot Bramanto,4.0,"Inside mall ok. Problem only finding parking..and especially finding the way for reaching exit gateway. For me exit way is too complicated and crowded between car lineway crossing. I suggest the management review more for parking exit path, especially during weekend"
Senayan City,Anggita Damayanti,2.0,"one of the best malls in Jakarta, but it's a shame it has unfriendly security, I visited wearing sandals and my skin was a little dark, all the women who entered were greeted kindly, there were large bags still given a box to enter the x-ray machine, even though my bag was so small, they just put it away, and gave my bag a weird look."
Senayan City,Lobelia Asmaul Husna,5.0,"One of the biggest mall in Jakarta. Good place for shopping, but need to improve the parking area on a big day. I was stuck and not moving at all about 30 minutes in the basement.
But overall it's great."
Senayan City,Elfooz,5.0,"One of the best and largest malls in the capital Jakarta, there are many diverse and multi-storey shops, easy to reach and they have several entrances to the mall, there are also many restaurants and cafes, there is also a corner for children and fast food"
Senayan City,Norman C,4.0,"Decent AC, a lot of stores and selection. Getting in and out of this mall was easy. The layout with the basement / escalators is a bit complex"
Senayan City,Sutini Irsan,4.0,Huge shopping mall with prestigeous brands and luxurious shops. A lot of new shops are expected to open soon. We were there for swatch watch repair/service. Lovely the garden at the lobby area.
Senayan City,"Raden “Winged, Elfeater” Gornak",5.0,"One of the largest mall in South Jakarta. Located just across Plaza Senayan Mall. Plenty of choices for shoppers. Fashion, food, electronics, entertainments, cinema, etc. Great outdoor areas also full of resto and cafes. You can find almost anything in here."
Senayan City,Wilhelmus Kresna Prabu,5.0,One's of the best Mall in metro city  Jkt
Senayan City,Muhammad Fairuzi Teguh,5.0,A spacious mall with many well-known tenants
Senayan City,Eric Kairupan,5.0,"Senayan City is one of the Jakarta's mall that I like to visit since the first time this mall open for public in 2006, until now. The spacious lay out and the luxurious tenants, just make this mall fun to be visited, either for culinary experiences or just for shopping. And if I'm not mistaken, at that time Senayan City was the first mall to held Midnight Shopping events or programs in Jakarta."
Senayan City,AV Fanny Aliwarga,5.0,"Very big and complete.I love the vibes here..This is one of luxiourious mall in the city. Familly oriented. Kids have a lot of options.. The foodcourt is infront of XXI. They are on 5th level They.give warm interior for the footcourt so it is cozy. The supermarket is foodhall.and in this level , many resttaurants including restaurants outdoor."
Senayan City,Ronald L. Poetranto,5.0,"One of the first malls that has upscale shopping and dining experience. I used to come here only to visit Jittlada. The vibes of this mall is modern and chic. Many options for dining actually. Very close to GBK, Fairmont hotel, Mulia hotel, and Best Western (walking distance - across from). For sure a 'to go' place in Jakarta. It's across from Plaza Senayan and FX. Walking distance from Senayan MRT and Harris hotel and apartment. If you're willing to walk a lil bit, you can find yourself around Senopati and SCBD area."
Senayan City,Fajar Hariadi,5.0,Nice Mall
Senayan City,Nurul Nisa Utami,5.0,Great mall to shop and strolling around. You can find many luxurious brands here
Senayan City,Do It,5.0,First time visiting the mall. I went to have lunch at Batavia restaurant. I don't know much about the mall. I didn't have much to walk around. From what I saw the mall is big and nice and close to Plaza Senayan mall. I definitely will go back next time.
The Darmawangsa Square,Vilia Ciputra,5.0,"A small and kinda old mall, but very well-taken care of. The tenants were curated well, pretty complete as in you could find many different type of businesses here, from cafe, supermarket, to dentist, physiotherapist, etc.

The mall was calm and has a classic interior style.   The crowds are more to working people, so you'll get the calm ambience which makes it a good place to read or have a cup of coffee with friends.

Will definitely be back."
The Darmawangsa Square,arantan saranto,5.0,"The only reason I went here is because there is Avenue 8. Its a very small mall, some few good restaurants but pricey and the parking space is adequate.

There is also sukaoutdoor too, small store which sells special brands for runners and cyclist."
